iter	Logloss
0	0.6844030843
1	0.6748499065
2	0.665211363
3	0.6556174064
4	0.646774541
5	0.6395905738
6	0.6330247346
7	0.6272366698
8	0.6199560658
9	0.6133283358
10	0.6078424266
11	0.6015309129
12	0.5965363734
13	0.5903414305
14	0.586299466
15	0.5826824237
16	0.5782141809
17	0.5731952464
18	0.568724944
19	0.5656163658
20	0.5613406335
21	0.5574624479
22	0.5525732713
23	0.5481710506
24	0.5442501309
25	0.5405599863
26	0.5373674558
27	0.5340652149
28	0.5319425153
29	0.5294763279
30	0.5272492518
31	0.5251041317
32	0.5235350608
33	0.5213775681
34	0.5188108576
35	0.5161098729
36	0.5141050328
37	0.5125801442
38	0.509877015
39	0.5074027688
40	0.5057190405
41	0.5028975246
42	0.5012953497
43	0.4999155458
44	0.4984398026
45	0.4962800756
46	0.4946071119
47	0.4935096817
48	0.4918063708
49	0.4901761699
50	0.4891828207
51	0.4877057946
52	0.4858143556
53	0.4842543664
54	0.4829500176
55	0.4816202607
56	0.4808922899
57	0.4790950882
58	0.4769732353
59	0.4759495607
60	0.4749593376
61	0.474130148
62	0.4733255732
63	0.4726591732
64	0.4712178405
65	0.4703883129
66	0.4695944291
67	0.4683427592
68	0.4673077832
69	0.4666581908
70	0.4652159556
71	0.4644533617
72	0.4639036111
73	0.4625972712
74	0.4616358984
75	0.4603708033
76	0.4595291287
77	0.4584769864
78	0.4578163313
79	0.4570161644
80	0.4561264364
81	0.4553791383
82	0.4547817922
83	0.4537551377
84	0.4531498259
85	0.4527135279
86	0.4521211923
87	0.4515244432
88	0.4506715089
89	0.4503228269
90	0.4495868795
91	0.4490283377
92	0.4480027403
93	0.4471204166
94	0.4463281476
95	0.4458151158
96	0.4453957105
97	0.4448620473
98	0.4440235172
99	0.4435217106
100	0.4430981846
101	0.4427060268
102	0.4422310313
103	0.4418287365
104	0.4413521292
105	0.4409861511
106	0.440595294
107	0.4400242027
108	0.4396021827
109	0.4391905564
110	0.4384344241
111	0.4380016438
112	0.4375262535
113	0.4370919814
114	0.4363540974
115	0.4358651844
116	0.4354745046
117	0.4348737532
118	0.4342394234
119	0.4337704237
120	0.4331282812
121	0.4327177702
122	0.4321892672
123	0.4317858948
124	0.4314755505
125	0.4310107552
126	0.4305732408
127	0.4299675234
128	0.4296545843
129	0.4291361597
130	0.428748047
131	0.4283910933
132	0.427824864
133	0.4274147848
134	0.4270125814
135	0.4267552423
136	0.42608912
137	0.425855376
138	0.4254674339
139	0.4251210394
140	0.4247353475
141	0.4243495119
142	0.4240891104
143	0.4237531375
144	0.4233344061
145	0.4230153
146	0.4226750764
147	0.4222735747
148	0.4219691408
149	0.4217215902
150	0.4214204098
151	0.4211192961
152	0.4207949308
153	0.4204730996
154	0.4201335172
155	0.4197832877
156	0.4194359591
157	0.4189711829
158	0.4186270545
159	0.418314398
160	0.4180053704
161	0.4176432773
162	0.4173530401
163	0.4170467444
164	0.4165686866
165	0.416338808
166	0.4159587291
167	0.415830308
168	0.4155342491
169	0.4152053437
170	0.4148655149
171	0.4145978691
172	0.4142103365
173	0.413905939
174	0.4135781416
175	0.4133384569
176	0.4130980268
177	0.4127491089
178	0.4124898211
179	0.4121822133
180	0.4117513457
181	0.41125023
182	0.4110554523
183	0.4106667754
184	0.4104109781
185	0.4101161021
186	0.4098543216
187	0.4095948192
188	0.4092822587
189	0.4089070717
190	0.408772825
191	0.4084713077
192	0.4081317091
193	0.4078182336
194	0.407591141
195	0.4072974931
196	0.407053692
197	0.4065262179
198	0.4062617788
199	0.4059404447
200	0.4057142136
201	0.4054902864
202	0.4052231875
203	0.4047852468
204	0.4045867563
205	0.4043293407
206	0.4040877233
207	0.4038096269
208	0.4034768073
209	0.4032145226
210	0.4029376061
211	0.4026610709
212	0.4021437104
213	0.4017855113
214	0.4015352217
215	0.4012500246
216	0.4010315014
217	0.4006622441
218	0.4002029318
219	0.3999761991
220	0.3997426985
221	0.399315991
222	0.3991054271
223	0.3988982694
224	0.3987139342
225	0.3984446688
226	0.3981963063
227	0.3979955777
228	0.3977569257
229	0.3975223595
230	0.3972503781
231	0.3969265132
232	0.396725794
233	0.3965080262
234	0.3962614619
235	0.3960633808
236	0.3957484918
237	0.3954900985
238	0.3953141419
239	0.3950662427
240	0.3948926563
241	0.3947167466
242	0.3944840817
243	0.3943291979
244	0.3939751629
245	0.3938290506
246	0.3936853837
247	0.3934923934
248	0.3932624726
249	0.3930463359
250	0.3927658205
251	0.3926191582
252	0.3923565061
253	0.3920726572
254	0.3918856394
255	0.3916107468
256	0.3912765763
257	0.3909702689
258	0.3906025633
259	0.3903324559
260	0.3900525728
